지점,년도,복숭아_발아,복숭아_발아(평비),복숭아_개화,복숭아_개화(평비),복숭아_만발,복숭아_만발(평비),개화,만발,연도,차이
청주,2015,2015-03-28,1일,2015-04-13,1일,2015-04-16,4일,2015-04-13,2015-04-16 0:00,2015,3
청주,2016,2016-03-22,-5일,2016-04-04,-8일,2016-04-06,-6일,2016-04-04,2016-04-06 0:00,2016,2
청주,2017,2017-03-23,-4일,2017-04-07,-5일,2017-04-09,-3일,2017-04-07,2017-04-09 0:00,2017,2
청주,2018,2018-03-18,-9일,2018-04-03,-9일,2018-04-06,-6일,2018-04-03,2018-04-06 0:00,2018,3
청주,2019,2019-03-19,-8일,2019-04-07,-5일,2019-04-12,0일,2019-04-07,2019-04-12 0:00,2019,5
청주,2020,2020-03-14,-13일,2020-03-29,-14일,2020-04-01,-11일,2020-03-29,2020-04-01 0:00,2020,3
청주,2021,2021-03-12,-15일,2021-03-29,-14일,2021-04-01,-11일,2021-03-29,2021-04-01 0:00,2021,3
청주,2022,2022-03-27,0일,2022-04-07,-5일,2022-04-09,-3일,2022-04-07,2022-04-09 0:00,2022,2
청주,2023,2023-03-11,-16일,2023-03-28,-15일,2023-03-31,-12일,2023-03-28,2023-03-31 0:00,2023,3
청주,2024,2024-03-09,-18일,2024-04-02,-10일,2024-04-06,-6일,2024-04-02,2024-04-06 0:00,2024,4
